step,total_loss,mlm_loss,mnm_loss,mlm_validation_accuracy,mnm_validation_accuracy
1,0.37983784079551697,6.1127424240112305,6.0420684814453125,0.0,0.0
2,0.37470120191574097,6.00037956237793,5.990058422088623,0.0,0.0
3,0.38183581829071045,6.236728191375732,5.98201847076416,0.0,0.0
4,0.3801778554916382,6.084131240844727,6.081559658050537,0.0,0.0
5,0.38040071725845337,6.051345348358154,6.1214776039123535,0.0,0.0
6,0.3855970501899719,5.993408203125,6.345697402954102,0.0,0.0
7,0.3730248808860779,5.8689775466918945,6.067818641662598,0.0,0.0
8,0.3745276927947998,5.889801979064941,6.0950846672058105,0.0,0.0
9,0.3875468969345093,6.219315528869629,6.182185649871826,0.0,0.0
10,0.3753650188446045,5.977891445159912,6.033789157867432,0.0,0.0
11,0.38053184747695923,6.019644737243652,6.157374858856201,0.0,0.0
12,0.3745097517967224,5.856112003326416,6.128199577331543,0.0,0.0
13,0.37100404500961304,6.033364772796631,5.838764667510986,0.0,0.0
14,0.3813695013523102,6.164130687713623,6.039693355560303,0.0,0.0
15,0.3833465576171875,6.193613052368164,6.073477268218994,0.0,0.0
16,0.36965978145599365,5.959321022033691,5.869792461395264,0.0,0.0
17,0.3770676851272583,6.084105014801025,5.982061386108398,0.0,0.0
18,0.37352585792541504,6.0187764167785645,5.934051036834717,0.0,0.0
19,0.3742189407348633,5.858658790588379,6.116347789764404,0.0,0.0
20,0.3817574381828308,6.122544765472412,6.093693256378174,0.0,0.0
21,0.37148311734199524,5.8737406730651855,6.013719081878662,0.0,0.0
22,0.37310147285461426,6.006079196929932,5.933167457580566,0.0,0.0
23,0.3772978186607361,6.0944695472717285,5.979061126708984,0.0,0.0
24,0.3799852132797241,5.913947105407715,6.245580196380615,0.0,0.0
25,0.3735036849975586,5.886563301086426,6.065554618835449,0.0,0.0
26,0.37818509340286255,6.0630879402160645,6.038835048675537,0.0,0.0
27,0.3834225833415985,6.106250762939453,6.163271903991699,0.0,0.0
28,0.3798742890357971,6.053654670715332,6.102323055267334,0.0,0.0
29,0.3696114420890808,5.823538780212402,6.004027843475342,0.0,0.0
30,0.3793272376060486,6.104148864746094,6.034323215484619,0.0,0.0
31,0.3791235685348511,5.956691265106201,6.175263404846191,0.0,0.0
32,0.3825629949569702,6.160072326660156,6.081943511962891,0.0,0.0
33,0.34620362520217896,5.393698692321777,5.684817314147949,0.0,0.0
